अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
उब्ज्	 । तु॰	 सेट्	 प॰ । 	उ॑ब्जँ॑ 		आर्जवे 	०६।	००२३ ॥
उभ्	 । तु॰	 सेट्	 प॰ । 	उ॑भँ॑ 		[पूरणे] 	०६।	००४४ ॥
उम्भ्	 । तु॰	 सेट्	 प॰ । 	उ॑म्भँ॑ 		पूरणे 	०६।	००४५ ॥
उर्द्	 । भ्वा॰	 सेट्	 आ॰ । 	उ॑र्दँ॒ 		माने क्रीडायां च 	०१।	००२० ॥
उर्व्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑र्वीँ॑ 		[हिंसार्थः] 	०१।	०६५० ॥
उष्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑षँ॑ 		दाहे 	०१।	०७९२ ॥
उह्	 । भ्वा॰	 सेट्	 प॰ । 	उ॑हिँ॑र् 		अर्दने 	०१।	०८४० ॥
ऊठ्	 । भ्वा॰	 सेट्	 प॰ । 	ऊ॑ठँ॑ 		उपघाते 	०१।	०३९१ ॥
ऊन (ऊन्)	 । चु॰	 सेट्	 उ॰ । 	ऊ॑नँ॑ 		परिहाणे 	१०।	०४३० ॥
ऊय्	 । भ्वा॰	 सेट्	 आ॰ । 	ऊ॑यीँ॒ 		तन्तुसन्ताने 	०१।	०५५६ ॥
ऊर्ज्	 । चु॰	 सेट्	 उ॰ । 	ऊ॑र्जँ॑ 		बलप्राणनयोः 	१०।	००२३ ॥
ऊर्णु	 । अ॰	 सेट्	 उ॰ । 	ऊ॑र्णु॑ञ् 		आच्छादने 	०२।	००३४ ॥
ऊष्	 । भ्वा॰	 सेट्	 प॰ । 	ऊ॑षँ॑ 		रुजायाम् 	०१।	०७७९ ॥
ऊह्	 । भ्वा॰	 सेट्	 आ॰ । 	ऊ॑हँ॒ 		वितर्के 	०१।	०७३५ ॥
ऋ	 । जु॰	 अनिट्	 प॰ । 	ऋ॒ 		[गतौ] 	०३।	००१७ ॥
ऋ	 । स्वा॰	 सेट्	 प॰ । 	ऋ॑ 		[हिंसायाम्] [इत्येके] 	०५।	००३८ ॥
ऋ	 । भ्वा॰	 अनिट्	 प॰ । 	ऋ॒ 		गतिप्रापणयोः 	०१।	१०८६ ॥
ऋच्	 । तु॰	 सेट्	 प॰ । 	ऋ॑चँ॑ 		स्तुतौ 	०६।	००२२ ॥
ऋछ्	 । तु॰	 सेट्	 प॰ । 	ऋ॑छँ॑ 		गतीन्द्रियप्रलयमूर्तिभावेषु 	०६।	००१६ ॥
ऋज्	 । भ्वा॰	 सेट्	 आ॰ । 	ऋ॑जँ॒ 		गतिस्थानार्जनोपार्जनेषु 	०१।	०२०० ॥
ऋञ्ज्	 । भ्वा॰	 सेट्	 आ॰ । 	ऋ॑जिँ॒ 		[भर्जने] 	०१।	०२०१ ॥
ऋण्	 । त॰	 सेट्	 उ॰ । 	ऋ॑णुँ॒॑ 		गतौ 	०८।	०००५ ॥
ऋध्	 । स्वा॰	 सेट्	 प॰ । 	ऋ॑धुँ॑ 		वृद्धौ 	०५।	००२७ ॥
ऋध्	 । दि॰	 सेट्	 प॰ । 	ऋ॑धुँ॑ 		वृद्धौ 	०४।	०१६० ॥
ऋफ्	 । तु॰	 सेट्	 प॰ । 	ऋ॑फँ॑ 		[हिंसायाम्] 	०६।	००४० ॥
ऋम्फ्	 । तु॰	 सेट्	 प॰ । 	ऋ॑म्फँ॑ 		हिंसायाम् 	०६।	००४१ ॥
ऋष्	 । तु॰	 सेट्	 प॰ । 	ऋ॑षीँ॑ 		गतौ 	०६।	०००७ ॥
ॠ	 । क्र्या॰	 सेट्	 प॰ । 	ॠ 		गतौ 	०९।	००३२ ॥
एज्	 । भ्वा॰	 सेट्	 आ॰ । 	ए॑जृँ॒ 		[दीप्तौ] 	०१।	०२०३ ॥
एज्	 । भ्वा॰	 सेट्	 प॰ । 	ए॑जृँ॑ 		कम्पने 	०१।	०२६७ ॥
एठ्	 । भ्वा॰	 सेट्	 आ॰ । 	ए॑ठँ॒ 		च [विबाधायां] 	०१।	०३०० ॥
एध्	 । भ्वा॰	 सेट्	 आ॰ । 	ए॑धँ॒ 		वृद्धौ 	०१।	०००२ ॥
एष्	 । भ्वा॰	 सेट्	 आ॰ । 	ए॑षृँ॒ 		[गतौ] 	०१।	०७०५ ॥
एष्	 । भ्वा॰	 सेट्	 आ॰ । 	ए॑षृँ॒ 		[प्रयत्ने] इत्येके 	०१।	०७०१ ॥
ओख्	 । भ्वा॰	 सेट्	 प॰ । 	ओ॑खृँ॑ 		[शोषणालमर्थ्योः] 	०१।	०१२९ ॥
