उ॑ज्झँ॑ 	*	उत्सर्गे 	*	उज्झ्	*	 । तु॰	*	००२४ ॥	*	 प॰ । 	*	 सेट्
उ॑छिँ॑ 	*	उञ्छे 	*	उञ्छ्	*	 । तु॰	*	००१४ ॥	*	 प॰ । 	*	 सेट्
उ॑छिँ॑ 	*	उञ्छे 	*	उञ्छ्	*	 । भ्वा॰	*	०२४३ ॥	*	 प॰ । 	*	 सेट्
उ॑ठँ॑ 	*	[उपघाते] इत्येके 	*	उठ्	*	 । भ्वा॰	*	०८५२ ॥	*	 प॰ । 	*	 सेट्
उ॑ठँ॒ 	*	उपघाते (प्रतिघाते) 	*	उठ्	*	 । भ्वा॰	*	०३९२ ॥	*	 आ॰ । 	*	 सेट्
क॑ठिँ॑ 	*	शोके । प्रायेणोत्पूर्व उत्कण्ठावचनः 	*	उत्कण्ठ्	*	 । चु॰	*	०३८५ ॥	*	 उ॰ । 	*	 सेट्
उ॑ज्झँ॑ 	*	उत्सर्गे 	*	उद्झ्	*	 । तु॰	*	००२४ ॥	*	 प॰ । 	*	 सेट्
उ॑घ्र॑सँ॑ 	*	[उञ्छे] इत्येके 	*	उध्रस्	*	 । चु॰	*	०२७१ ॥	*	 उ॰ । 	*	 सेट्
उ॑न्दीँ॑ 	*	क्लेदने 	*	उन्द्	*	 । रु॰	*	००२० ॥	*	 प॰ । 	*	 सेट्
उ॑ब्जँ॑ 	*	आर्जवे 	*	उब्ज्	*	 । तु॰	*	००२३ ॥	*	 प॰ । 	*	 सेट्
उ॑भँ॑ 	*	[पूरणे] 	*	उभ्	*	 । तु॰	*	००४४ ॥	*	 प॰ । 	*	 सेट्
उ॑म्भँ॑ 	*	पूरणे 	*	उम्भ्	*	 । तु॰	*	००४५ ॥	*	 प॰ । 	*	 सेट्
उ॑र्दँ॒ 	*	माने क्रीडायां च 	*	उर्द्	*	 । भ्वा॰	*	००२० ॥	*	 आ॰ । 	*	 सेट्
उ॑र्वीँ॑ 	*	[हिंसार्थः] 	*	उर्व्	*	 । भ्वा॰	*	०६५० ॥	*	 प॰ । 	*	 सेट्
उ॑षँ॑ 	*	दाहे 	*	उष्	*	 । भ्वा॰	*	०७९२ ॥	*	 प॰ । 	*	 सेट्
