173	भ्वादिः	ओखृँ ( ओख् ) 	अलमर्थे 	सेट् 	प.प 	82	85	86
174	भ्वादिः	ओखृँ ( ओख् ) 	शोषणे 	सेट् 	प.प 	82	85	86
175	भ्वादिः	द्राखृँ ( द्राख् ) 	अलमर्थे 	सेट् 	प.प 	82	85	86
176	भ्वादिः	द्राखृँ ( द्राख् ) 	शोषणे 	सेट् 	प.प 	82	85	86
177	भ्वादिः	ध्राखृँ ( ध्राख् ) 	अलमर्थे 	सेट् 	प.प 	82	85	86
178	भ्वादिः	ध्राखृँ ( ध्राख् ) 	शोषणे 	सेट् 	प.प 	82	85	86
179	भ्वादिः	राखृँ ( राख् ) 	अलमर्थे 	सेट् 	प.प 	82	85	86
180	भ्वादिः	राखृँ ( राख् ) 	शोषणे 	सेट् 	प.प 	82	85	86
181	भ्वादिः	लाखृँ ( लाख् ) 	अलमर्थे 	सेट् 	प.प 	82	85	86
182	भ्वादिः	लाखृँ ( लाख् ) 	शोषणे 	सेट् 	प.प 	82	85	86
183	भ्वादिः	खर्ख(खर्ख) 	हसने 	सेट् 	प.प 	X	84	X
184	भ्वादिः	कक्खँ(कक्ख्) 	हसने 	सेट् 	प.प 	X	X	85
185	भ्वादिः	शाखृँ ( शाख् ) 	व्याप्तौ 	सेट् 	प.प 	83	86	87
186	भ्वादिः	श्लाखृँ ( श्लाख् ) 	व्याप्तौ 	सेट् 	प.प 	83	86	87
187	भ्वादिः	अगिँ(अग्) 	गतौ 	सेट् 	प.प 	84	87	88
188	भ्वादिः	इखिँ ( इख् ) 	गतौ 	सेट् 	प.प 	84	X	88
189	भ्वादिः	इखँ ( इख् ) 	गतौ 	सेट् 	प.प 	84	87	X
190	भ्वादिः	इगिँ ( इग् ) 	गतौ 	सेट् 	प.प 	84	87	88
191	भ्वादिः	ईखिँ ( ईख् ) 	गतौ 	सेट् 	प.प 	84	87	88
192	भ्वादिः	उखिँ ( उख् ) 	गतौ 	सेट् 	प.प 	84	87	X
193	भ्वादिः	उखँ ( उख् ) 	गतौ 	सेट् 	प.प 	84	87	88
194	भ्वादिः	णखिँ(णख्) 	गतौ 	सेट् 	प.प 	84	87	X
195	भ्वादिः	णखँ(णख्) 	गतौ 	सेट् 	प.प 	84	87	88
196	भ्वादिः	तगिँ ( तग् ) 	गतौ 	सेट् 	प.प 	84	87	88
197	भ्वादिः	त्वगिँ ( त्वग् ) 	गतौ 	सेट् 	प.प 	84	87	88
198	भ्वादिः	मखिँ ( मख् ) 	गतौ 	सेट् 	प.प 	84	87	X
199	भ्वादिः	मखँ ( मख् ) 	गतौ 	सेट् 	प.प 	84	87	88
200	भ्वादिः	मगिँ(मग्) 	गतौ 	सेट् 	प.प 	84	87	88
201	भ्वादिः	रखिँ ( रख् ) 	गतौ 	सेट् 	प.प 	84	87	X
202	भ्वादिः	रखँ ( रख् ) 	गतौ 	सेट् 	प.प 	84	87	88
203	भ्वादिः	रगिँ ( रग् ) 	गतौ 	सेट् 	प.प 	84	87	88
204	भ्वादिः	रिगिँ ( रिग् ) 	गतौ 	सेट् 	प.प 	84	87	88
205	भ्वादिः	लखिँ ( लख् ) 	गतौ 	सेट् 	प.प 	84	87	88
206	भ्वादिः	लखँ ( लख् ) 	गतौ 	सेट् 	प.प 	84	87	88
207	भ्वादिः	लगिँ ( लग् ) 	गतौ 	सेट् 	प.प 	84	87	88
208	भ्वादिः	लिगिँ ( लिग् ) 	गतौ 	सेट् 	प.प 	84	87	88
209	भ्वादिः	वखिँ ( वख् ) 	गतौ 	सेट् 	प.प 	84	87	88
210	भ्वादिः	वखँ ( वख् ) 	गतौ 	सेट् 	प.प 	84	87	88
211	भ्वादिः	वगिँ ( वग् ) 	गतौ 	सेट् 	प.प 	84	87	88
212	भ्वादिः	वल्गँ ( वल्ग् ) 	गतौ 	सेट् 	प.प 	84	87	88
213	भ्वादिः	श्रगिँ ( श्रग् ) 	गतौ 	सेट् 	प.प 	84	87	88
214	भ्वादिः	श्लगिँ ( श्लग् ) 	गतौ 	सेट् 	प.प 	84	87	88
215	भ्वादिः	नखँ(नख्) 	गतौ 	सेट् 	प.प 	X	87	X
216	भ्वादिः	त्रगिँ(त्रग्) 	गतौ 	सेट् 	प.प 	X	X	88
217	भ्वादिः	श्वगिँ(श्वग्) 	गतौ 	सेट् 	प.प 	X	X	88
218	भ्वादिः	त्वगिँ ( त्वग् ) 	कम्पने 	सेट् 	प.प 	X	88	X
219	भ्वादिः	जुगिँ ( जुग् ) 	वर्जने 	सेट् 	प.प 	85	89	89
220	भ्वादिः	युगिँ ( युग् ) 	वर्जने 	सेट् 	प.प 	85	89	89
221	भ्वादिः	रुगिँ(रुग्) 	वर्जने 	सेट् 	प.प 	85	X	89
222	भ्वादिः	वुगिँ(वुग्) 	वर्जने 	सेट् 	प.प 	X	89	X
223	भ्वादिः	दघिँ(दघ्) 	पालने 	सेट् 	प.प 	X	90	90
224	भ्वादिः	लघिँ ( लघ् ) 	शोषणे 	सेट् 	प.प 	X	X	91
225	भ्वादिः	घघँ ( घघ् ) 	हसने 	सेट् 	प.प 	86	X	92
226	भ्वादिः	मघिँ ( मघ् ) 	मण्डने 	सेट् 	प.प 	87	X	93
227	भ्वादिः	दघिँ(दघ्) 	वर्जने 	सेट् 	प.प 	X	90	X
228	भ्वादिः	घग्घँ(घग्घ्) 	हसने 	सेट् 	प.प 	X	91	X
229	भ्वादिः	शिघिँ ( शिघ् ) 	आघ्राणे 	सेट् 	प.प 	88	92	94
230	भ्वादिः	वर्चँ॒ ( वर्च् ) 	दीप्तौ 	सेट् 	आ.प 	89	93	95
231	भ्वादिः	षचँ॒ ( षच् ) 	सेचने 	सेट् 	आ.प 	90	94	96
232	भ्वादिः	लोचृँ॒ ( लोच् ) 	दर्शने 	सेट् 	आ.प 	91	95	97
233	भ्वादिः	शचँ॒(शच्) 	व्यक्तायां_वाचि 	सेट् 	आ.प 	92	96	98
234	भ्वादिः	श्वचिँ॒ ( श्वच् ) 	गतौ 	सेट् 	आ.प 	93	97	99
235	भ्वादिः	श्वचँ॒ ( श्वच् ) 	गतौ 	सेट् 	आ.प 	93	97	99
236	भ्वादिः	कचँ॒ ( कच् ) 	बन्धने 	सेट् 	आ.प 	94	98	100
237	भ्वादिः	कचिँ॒ ( कच् ) 	दीप्तौ 	सेट् 	आ.प 	95	99	101
238	भ्वादिः	कचिँ॒ ( कच् ) 	बन्धने 	सेट् 	आ.प 	95	99	101
239	भ्वादिः	काचिँ॒ ( काच् ) 	दीप्तौ 	सेट् 	आ.प 	95	X	X
240	भ्वादिः	काचिँ॒ ( काच् ) 	बन्धने 	सेट् 	आ.प 	95	X	X
241	भ्वादिः	मचँ॒(मच्) 	कल्कने 	सेट् 	आ.प 	96	100	102
242	भ्वादिः	मुचिँ॒ ( मुच् ) 	कल्कने 	सेट् 	आ.प 	96	100	102
243	भ्वादिः	मचिँ॒ ( मच् ) 	उच्छ्राये 	सेट् 	आ.प 	97	101	103
244	भ्वादिः	मचिँ॒ ( मच् ) 	धारणे 	सेट् 	आ.प 	97	101	103
245	भ्वादिः	मचिँ॒ ( मच् ) 	पूजने 	सेट् 	आ.प 	97	101	103
246	भ्वादिः	पचिँ॒(पच्) 	व्यक्तीकरणे 	सेट् 	आ.प 	98	102	104
247	भ्वादिः	ष्टुचँ॒ ( ष्टुच् ) 	प्रसादे 	सेट् 	आ.प 	99	X	X
248	भ्वादिः	ष्तुचँ॒(ष्तुच्) 	प्रसादे 	सेट् 	आ.प 	X	103	105
249	भ्वादिः	ऋजँ॒ ( ऋज् ) 	उपार्जने 	सेट् 	आ.प 	100	104	106
